Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,55.01,692.4,0.08,131.25,0.0
C++,56.44,703.9,0.08,132.5,0.0
C#,446.53,9409.0,0.05,1658.38,0.0
Rust,52.2,626.9,0.08,403.99,0.0
Java,124.79,1764.7,0.07,2433.12,0.0
