Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,16.79,145.5,0.12,2.37,0.0
C++,12.49,107.0,0.12,2.37,0.0
C#,32.68,343.0,0.1,32.24,0.0
Rust,29.3,257.8,0.11,2.37,0.0
Java,39.5,429.0,0.09,44.56,0.0
