Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,75.2,1787.6,0.04,32.0,0.0
C++,53.45,1741.9,0.03,33.5,0.0
C#,187.55,2768.5,0.07,63.58,0.0
Rust,75.0,1801.9,0.04,33.75,0.0
Java,173.55,2698.8,0.06,87.23,0.0
