Language (Energy),Energy (J),Normalized Energy,Language (Time),Time (ms),Normalized Time,Language (Memory),Memory (MB),Normalized Memory,Language (Peak),Peak (MB),Normalized Peak
C#,239.03,-0.79,C,2191.96,1.0,C,58.47,1.0,C,0.0,
Rust,148.71,-0.49,Java,2229.38,1.02,C++,58.47,1.0,C++,0.0,
Java,141.1,-0.46,Rust,2333.07,1.06,C#,58.47,1.0,C#,0.0,
C,140.62,-0.46,C++,3150.92,1.44,Rust,58.47,1.0,Rust,0.0,
C++,-304.18,1.0,C#,3902.21,1.78,Java,58.47,1.0,Java,0.0,
