Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,84.59,1216.8,0.07,32.0,0.0
C++,69.95,1008.1,0.07,33.5,0.0
C#,151.42,2189.8,0.07,63.58,0.0
Rust,88.64,1044.0,0.08,33.75,0.0
Java,143.49,2116.7,0.07,87.23,0.0
