Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,55.29,688.8,0.08,131.25,0.0
C++,53.16,718.3,0.07,132.5,0.0
C#,441.11,9283.1,0.05,1658.38,0.0
Rust,56.02,588.8,0.1,403.99,0.0
Java,163.41,1712.0,0.1,2433.12,0.0
