Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,1.59,38.3,0.04,0.0,0.0
C++,1.74,38.4,0.05,0.0,0.0
C#,7.23,166.9,0.04,0.0,0.0
Rust,0.04,1.2,0.04,0.0,0.0
Java,5.58,109.0,0.05,0.0,0.0
