Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,242.1,2982.7,0.08,1.87,0.0
C++,262.25,3312.7,0.08,3.62,0.0
C#,509.03,6888.6,0.07,30.49,0.0
Rust,290.6,3627.2,0.08,2.0,0.0
Java,365.52,4698.0,0.08,44.35,0.0
