Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,88.99,2280.2,0.04,1.87,0.0
C++,87.1,2169.5,0.04,1.87,0.0
C#,135.92,3606.4,0.04,30.11,0.0
Rust,67.41,1735.9,0.04,1.87,0.0
Java,138.23,3693.5,0.04,42.27,0.0
