Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,84.69,2417.9,0.04,0.0,0.0
C++,87.7,2423.2,0.04,0.0,0.0
C#,91.62,2484.8,0.04,0.0,0.0
Rust,87.59,2421.7,0.04,0.0,0.0
Java,163.77,4715.3,0.03,0.0,0.0
