binary-trees,426.29046630859375,319.03985595703125,0.0,11.5277099609375,9545
binary-trees,426.48345947265625,319.31378173828125,0.0,11.5711669921875,9537
binary-trees,439.91925048828125,336.9268798828125,0.0,11.1807861328125,9164
binary-trees,448.22784423828125,343.1693115234375,0.0,11.39300537109375,9349
binary-trees,440.8419189453125,336.2032470703125,0.0,11.307373046875,9311
binary-trees,429.70184326171875,322.99249267578125,0.0,11.498291015625,9498
binary-trees,440.65594482421875,335.297607421875,0.0,11.40106201171875,9376
binary-trees,419.74822998046875,311.229248046875,0.0,11.6322021484375,9661
binary-trees,447.91802978515625,344.04046630859375,0.0,11.3253173828125,9244
binary-trees,431.2685546875,325.52764892578125,0.0,11.45220947265625,9405
fannkuch-redux,501.972412109375,424.88323974609375,0.0,3.8818359375,6963
fannkuch-redux,451.1573486328125,373.85430908203125,0.0,3.892333984375,6980
fannkuch-redux,449.24700927734375,372.667724609375,0.0,3.856201171875,6917
fannkuch-redux,449.220458984375,372.71624755859375,0.0,3.85272216796875,6911
fannkuch-redux,448.50921630859375,371.8944091796875,0.0,3.85833740234375,6921
fannkuch-redux,449.679443359375,373.12322998046875,0.0,3.855224609375,6914
fannkuch-redux,449.589111328125,372.89056396484375,0.0,3.8614501953125,6925
fannkuch-redux,447.7259521484375,371.33392333984375,0.0,3.84716796875,6901
fannkuch-redux,451.62353515625,374.63897705078125,0.0,3.87603759765625,6951
fannkuch-redux,450.026123046875,373.0882568359375,0.0,3.8741455078125,6950
fasta,274.94537353515625,158.566650390625,0.0,6.11065673828125,10508
fasta,269.8629150390625,161.65277099609375,0.0,5.69549560546875,9774
fasta,257.5218505859375,148.4630126953125,0.0,5.74200439453125,9850
fasta,253.3511962890625,142.98822021484375,0.0,5.8082275390625,9969
fasta,288.60009765625,179.75909423828125,0.0,5.7275390625,9833
fasta,335.3541259765625,238.7313232421875,0.0,5.08258056640625,8726
fasta,269.3350830078125,169.8516845703125,0.0,5.2415771484375,8983
fasta,327.4384765625,226.6478271484375,0.0,5.30938720703125,9102
fasta,323.41943359375,224.0992431640625,0.0,5.2266845703125,8970
fasta,293.907958984375,193.8563232421875,0.0,5.2735595703125,9037
k-nucleotide,171.61712646484375,146.02984619140625,0.0,3.045654296875,2280
k-nucleotide,172.50201416015625,145.72222900390625,0.0,3.02191162109375,2393
k-nucleotide,172.82196044921875,146.82855224609375,0.0,3.114501953125,2314
k-nucleotide,175.20550537109375,147.9564208984375,0.0,3.1072998046875,2435
k-nucleotide,170.17022705078125,145.105224609375,0.0,2.934814453125,2234
k-nucleotide,174.1710205078125,148.47943115234375,0.0,3.09881591796875,2292
k-nucleotide,173.24493408203125,146.08087158203125,0.0,3.12359619140625,2425
k-nucleotide,170.3773193359375,143.936767578125,0.0,2.9404296875,2361
k-nucleotide,169.92401123046875,143.87176513671875,0.0,2.7913818359375,2329
k-nucleotide,171.30267333984375,144.76678466796875,0.0,2.974365234375,2369
mandelbrot,185.18426513671875,154.55084228515625,0.0,1.58587646484375,2764
mandelbrot,185.06512451171875,154.358642578125,0.0,1.59033203125,2773
mandelbrot,186.60980224609375,156.01324462890625,0.0,1.58428955078125,2763
mandelbrot,186.9569091796875,156.1767578125,0.0,1.59259033203125,2782
mandelbrot,186.06988525390625,155.802978515625,0.0,1.567138671875,2730
mandelbrot,185.28436279296875,154.59967041015625,0.0,1.58880615234375,2771
mandelbrot,186.572021484375,155.10003662109375,0.0,1.62884521484375,2841
mandelbrot,186.6624755859375,156.0438232421875,0.0,1.586181640625,2765
mandelbrot,187.12628173828125,156.69561767578125,0.0,1.57586669921875,2750
mandelbrot,184.09857177734375,153.66778564453125,0.0,1.57733154296875,2746
n-body,129.00274658203125,88.99285888671875,0.0,2.01641845703125,3613
n-body,129.48638916015625,89.4210205078125,0.0,2.018798828125,3619
n-body,131.27447509765625,91.022705078125,0.0,2.029052734375,3636
n-body,127.7310791015625,88.03582763671875,0.0,2.0008544921875,3586
n-body,130.95947265625,90.6026611328125,0.0,2.03497314453125,3648
n-body,131.05047607421875,90.71307373046875,0.0,2.03204345703125,3642
n-body,131.84844970703125,91.49462890625,0.0,2.033447265625,3647
n-body,130.4224853515625,90.12493896484375,0.0,2.03082275390625,3639
n-body,130.17755126953125,90.14697265625,0.0,2.017578125,3617
n-body,130.16522216796875,89.9229736328125,0.0,2.028076171875,3636
regex-redux,462.471923828125,404.87969970703125,0.0,3.67742919921875,5194
regex-redux,441.947998046875,385.00079345703125,0.0,3.63568115234375,5133
regex-redux,442.8377685546875,388.838134765625,0.0,3.4957275390625,4868
regex-redux,441.8157958984375,381.4571533203125,0.0,3.80859375,5445
regex-redux,375.3209228515625,310.80706787109375,0.0,4.01922607421875,5819
regex-redux,366.210693359375,302.95172119140625,0.0,3.9593505859375,5704
regex-redux,361.4261474609375,300.389404296875,0.0,3.8446044921875,5504
regex-redux,330.62677001953125,276.30780029296875,0.0,3.51409912109375,4895
regex-redux,353.0732421875,291.40863037109375,0.0,3.8853759765625,5564
regex-redux,334.14581298828125,277.66815185546875,0.0,3.625,5091
reverse-complement,266.53369140625,168.26409912109375,0.0,5.48272705078125,8867
reverse-complement,244.32965087890625,142.64825439453125,0.0,5.6768798828125,9177
reverse-complement,234.94830322265625,136.83807373046875,0.0,5.4871826171875,8852
reverse-complement,264.03485107421875,167.51373291015625,0.0,5.39801025390625,8710
reverse-complement,251.294677734375,148.3470458984375,0.0,5.7374267578125,9291
reverse-complement,251.88800048828125,145.84283447265625,0.0,5.89495849609375,9571
