Elapsed Time (ms),Package Energy (µJ),DRAM Energy (µJ),Temperature (C°),,,,
4072.239655,159140000,2410000,26.4166666666667,4.072239655,159.14,2.41,317
3999.800153,155880000,2360000,29.3333333333333,3.999800153,155.88,2.36,352
4021.512924,156720000,2360000,40,4.021512924,156.72,2.36,480
4003.695444,154930000,2360000,29.9166666666667,4.003695444,154.93,2.36,359
4056.811442,157870000,2390000,50.0833333333333,4.056811442,157.87,2.39,601
3994.698867,153990000,2360000,24,3.994698867,153.99,2.36,288
4010.720871,155110000,2360000,30,4.010720871,155.11,2.36,360
4026.785836,156760000,2390000,29.1666666666667,4.026785836,156.76,2.39,350
4002.621785,157160000,2360000,18.5833333333333,4.002621785,157.16,2.36,223
4025.936357,154980000,2380000,31.6666666666667,4.025936357,154.98,2.38,380
4001.742393,153480000,2360000,40,4.001742393,153.48,2.36,480
3985.273887,153080000,2350000,40,3.985273887,153.08,2.35,480
4013.046341,157390000,2370000,20.9166666666667,4.013046341,157.39,2.37,251
4005.116336,157640000,2360000,18,4.005116336,157.64,2.36,216
4029.13341,157710000,2380000,18.3333333333333,4.02913341,157.71,2.38,220
4012.394634,157420000,2370000,40,4.012394634,157.42,2.37,480
3986.737923,156000000,2350000,18.5,3.986737923,156,2.35,222
4006.119886,155260000,2360000,39.8333333333333,4.006119886,155.26,2.36,478
4030.811893,157030000,2380000,40.1666666666667,4.030811893,157.03,2.38,482
4004.544916,156900000,2360000,40.1666666666667,4.004544916,156.9,2.36,482
4011.101568,157670000,2370000,28.8333333333333,4.011101568,157.67,2.37,346
4013.800826,156260000,2370000,40,4.013800826,156.26,2.37,480
4006.146087,155010000,2360000,29.5833333333333,4.006146087,155.01,2.36,355
4008.658228,157270000,2360000,28.8333333333333,4.008658228,157.27,2.36,346
4005.300938,156710000,2360000,19.25,4.005300938,156.71,2.36,231
4004.797263,156470000,2360000,39.4166666666667,4.004797263,156.47,2.36,473
4022.955443,156360000,2370000,29.1666666666667,4.022955443,156.36,2.37,350
4032.918459,158900000,2390000,28.6666666666667,4.032918459,158.9,2.39,344
4026.374989,156720000,2380000,39.8333333333333,4.026374989,156.72,2.38,478
4019.658148,155680000,2370000,40,4.019658148,155.68,2.37,480
4008.51362,155890000,2360000,40.1666666666667,4.00851362,155.89,2.36,482
3983.811772,155260000,2350000,18,3.983811772,155.26,2.35,216
4024.723171,158670000,2390000,13.0833333333333,4.024723171,158.67,2.39,157
4002.827684,155170000,2360000,29.4166666666667,4.002827684,155.17,2.36,353
4073.256106,156880000,2400000,29.3333333333333,4.073256106,156.88,2.4,352
4053.175192,155360000,2400000,20.75,4.053175192,155.36,2.4,249
4008.959093,157040000,2360000,18.3333333333333,4.008959093,157.04,2.36,220
4013.265027,154660000,2360000,21.1666666666667,4.013265027,154.66,2.36,254
3998.759194,156180000,2350000,10.3333333333333,3.998759194,156.18,2.35,124
4002.465397,156640000,2370000,29.5,4.002465397,156.64,2.37,354
4010.881131,156760000,2360000,40.1666666666667,4.010881131,156.76,2.36,482
4015.117579,157360000,2360000,18.1666666666667,4.015117579,157.36,2.36,218
4002.093296,157540000,2360000,28.8333333333333,4.002093296,157.54,2.36,346
4008.518451,156620000,2370000,39.6666666666667,4.008518451,156.62,2.37,476
4001.92726,155980000,2360000,29.1666666666667,4.00192726,155.98,2.36,350
4001.391749,153530000,2360000,29.9166666666667,4.001391749,153.53,2.36,359
4011.170481,154380000,2380000,29.6666666666667,4.011170481,154.38,2.38,356
4016.020547,155650000,2370000,29.3333333333333,4.016020547,155.65,2.37,352
3997.661367,153450000,2350000,30.3333333333333,3.997661367,153.45,2.35,364
4013.00839,157000000,2380000,29.8333333333333,4.01300839,157,2.38,358
3997.037301,156930000,2360000,29.25,3.997037301,156.93,2.36,351
4030.361408,154360000,2370000,30.0833333333333,4.030361408,154.36,2.37,361
4018.149472,156920000,2360000,39.6666666666667,4.018149472,156.92,2.36,476
4015.782711,156900000,2370000,29.75,4.015782711,156.9,2.37,357
4006.520317,156330000,2360000,10.1666666666667,4.006520317,156.33,2.36,122
4005.994459,154470000,2360000,19.25,4.005994459,154.47,2.36,231
4013.820567,156260000,2370000,39.6666666666667,4.013820567,156.26,2.37,476
3997.553167,157140000,2360000,18.6666666666667,3.997553167,157.14,2.36,224
4020.923296,158060000,2380000,29,4.020923296,158.06,2.38,348
