Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,231.98,3203.24,0.07,1.87,0.0
C++,239.12,3319.33,0.07,1.87,0.0
C#,469.22,6834.58,0.07,1.87,0.0
Rust,272.6,3824.09,0.07,1.87,0.0
Java,334.39,4782.27,0.07,1.87,0.0
