Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,478.71,7052.24,0.07,12.23,0.0
C++,462.38,6888.31,0.07,12.23,0.0
C#,596.25,8906.27,0.07,12.23,0.0
Rust,531.07,7942.09,0.07,12.23,0.0
Java,64.03,868.07,0.07,12.23,0.0
