Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,1.13,20.18,0.06,0.0,0.0
C++,0.26,3.29,0.08,0.0,0.0
C#,2.57,40.18,0.06,0.0,0.0
Rust,0.42,4.64,0.09,0.0,0.0
Java,1.06,11.09,0.1,0.0,0.0
