Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,55.46,687.64,0.08,131.25,0.0
C++,55.41,654.11,0.08,131.25,0.0
C#,396.73,8074.0,0.05,131.25,0.0
Rust,55.88,560.89,0.1,131.25,0.0
Java,115.26,1413.69,0.08,131.25,0.0
