Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,82.6,2439.98,0.03,0.0,0.0
C++,83.01,2454.78,0.03,0.0,0.0
C#,86.94,2411.84,0.04,0.0,0.0
Rust,86.78,2416.93,0.04,0.0,0.0
Java,94.97,2541.71,0.04,0.0,0.0
