Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,20.25,167.07,0.12,2.37,0.0
C++,12.56,104.98,0.12,2.37,0.0
C#,28.47,235.49,0.12,2.37,0.0
Rust,29.73,255.2,0.12,2.37,0.0
Java,35.6,375.84,0.09,2.37,0.0
