Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,47.53,688.87,0.07,148.5,0.0
C++,381.88,8103.62,0.05,148.5,0.0
C#,336.24,4836.73,0.07,148.5,0.0
Rust,32.32,734.29,0.04,148.5,0.0
Java,238.3,3615.07,0.07,148.5,0.0
