Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,55.29,487.73,0.11,32.0,0.0
C++,32.83,287.44,0.11,32.0,0.0
C#,164.94,2253.29,0.07,32.0,0.0
Rust,86.5,1084.71,0.08,32.0,0.0
Java,116.19,1460.51,0.08,32.0,0.0
