Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,602.32,9114.4,0.07,12.23,0.0
C++,540.62,8116.5,0.07,4.25,0.0
C#,572.15,8612.8,0.07,40.74,0.0
Rust,528.4,7806.8,0.07,5.74,0.0
Java,96.96,1404.0,0.07,50.98,0.0
