Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,85.98,2418.6,0.04,0.0,0.0
C++,87.56,2425.5,0.04,0.0,0.0
C#,86.41,2415.5,0.04,0.0,0.0
Rust,87.79,2413.5,0.04,0.0,0.0
Java,99.69,2712.3,0.04,0.0,0.0
