Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,1.44,34.6,0.04,0.0,0.0
C++,1.51,35.4,0.04,0.0,0.0
C#,5.45,117.3,0.05,0.0,0.0
Rust,2.17,46.1,0.05,0.0,0.0
Java,2.47,50.0,0.05,0.0,0.0
