Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,116.56,1692.2,0.07,127.37,0.0
C++,80.82,1086.4,0.07,153.46,0.0
C#,164.72,2396.9,0.07,181.91,0.0
Rust,157.86,2218.4,0.07,133.49,0.0
Java,118.27,1697.0,0.07,371.89,0.0
