Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,0.26,2.7,0.1,0.0,0.0
C++,0.33,3.7,0.09,0.0,0.0
C#,3.58,56.9,0.06,0.0,0.0
Rust,0.47,4.6,0.1,0.0,0.0
Java,1.22,11.8,0.1,0.0,0.0
