Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,87.57,2261.5,0.04,1.87,0.0
C++,82.27,2064.3,0.04,1.87,0.0
C#,127.83,3514.8,0.04,30.11,0.0
Rust,67.03,1720.6,0.04,1.87,0.0
Java,137.02,3667.0,0.04,42.27,0.0
