Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,1637.31,31438.7,0.05,244.12,0.0
C++,1139.95,15980.1,0.07,241.87,0.0
C#,520.69,7479.1,0.07,743.72,0.0
Rust,475.07,6915.7,0.07,245.87,0.0
Java,518.34,7355.3,0.07,369.89,0.0
