Language,Energy (J),Time (ms),Ratio (J/ms)
C,2.55,193.86,0.01
C++,2.6,196.21,0.01
C#,9.72,738.9,0.01
Java,5.46,401.45,0.01
C,2.55,193.86,0.01
C++,2.6,196.21,0.01
C#,9.72,738.9,0.01
Java,5.46,401.45,0.01
C,2.55,193.86,0.01
C++,2.6,196.21,0.01
C#,9.72,738.9,0.01
Java,5.46,401.45,0.01
C,2.55,193.86,0.01
C++,2.6,196.21,0.01
C#,9.72,738.9,0.01
Java,5.46,401.45,0.01
C,2.55,193.86,0.01
C++,2.6,196.21,0.01
C#,9.72,738.9,0.01
Java,5.46,401.45,0.01
