Language,Energy (J),Time (ms),Ratio (J/ms)
C,162.64,11168.1,0.01
C++,160.03,10754.03,0.01
C#,248.78,17470.14,0.01
Java,194.83,13298.21,0.01
C,162.64,11168.1,0.01
C++,160.03,10754.03,0.01
C#,248.78,17470.14,0.01
Java,194.83,13298.21,0.01
C,162.64,11168.1,0.01
C++,160.03,10754.03,0.01
C#,248.78,17470.14,0.01
Java,194.83,13298.21,0.01
C,162.64,11168.1,0.01
C++,160.03,10754.03,0.01
C#,248.78,17470.14,0.01
Java,194.83,13298.21,0.01
C,162.64,11168.1,0.01
C++,160.03,10754.03,0.01
C#,248.78,17470.14,0.01
Java,194.83,13298.21,0.01
