Language,Energy (J),Time (ms),Ratio (J/ms)
C#,728.55,48876.52,0.01
C#,728.55,48876.52,0.01
C#,728.55,48876.52,0.01
C#,728.55,48876.52,0.01
C#,728.55,48876.52,0.01
C#,728.55,48876.52,0.01
C#,728.55,48876.52,0.01
C,716.03,48013.72,0.01
C++,708.43,48085.03,0.01
C#,728.55,48876.52,0.01
Java,714.25,48108.0,0.01
C,716.03,48013.72,0.01
C++,708.43,48085.03,0.01
C#,728.55,48876.52,0.01
Java,714.25,48108.0,0.01
C,716.03,48013.72,0.01
C++,708.43,48085.03,0.01
C#,728.55,48876.52,0.01
Java,714.25,48108.0,0.01
C,716.03,48013.72,0.01
C++,708.43,48085.03,0.01
C#,728.55,48876.52,0.01
Java,714.25,48108.0,0.01
C,716.03,48013.72,0.01
C++,708.43,48085.03,0.01
C#,728.55,48876.52,0.01
Java,714.25,48108.0,0.01
C,716.03,48013.72,0.01
C++,708.43,48085.03,0.01
C#,728.55,48876.52,0.01
Java,714.25,48108.0,0.01
