Language,Energy (J),Time (ms),Ratio (J/ms)
C#,31.34,2096.69,0.01
C#,31.34,2096.69,0.01
C#,31.34,2096.69,0.01
C#,31.34,2096.69,0.01
C#,31.34,2096.69,0.01
C#,31.34,2096.69,0.01
C#,31.34,2096.69,0.01
C,19.91,1370.83,0.01
C++,22.18,1599.86,0.01
C#,31.34,2096.69,0.01
Java,92.92,6838.28,0.01
C,19.91,1370.83,0.01
C++,22.18,1599.86,0.01
C#,31.34,2096.69,0.01
Java,92.92,6838.28,0.01
C,19.91,1370.83,0.01
C++,22.18,1599.86,0.01
C#,31.34,2096.69,0.01
Java,92.92,6838.28,0.01
C,19.91,1370.83,0.01
C++,22.18,1599.86,0.01
C#,31.34,2096.69,0.01
Java,92.92,6838.28,0.01
C,19.91,1370.83,0.01
C++,22.18,1599.86,0.01
C#,31.34,2096.69,0.01
Java,92.92,6838.28,0.01
C,19.91,1370.83,0.01
C++,22.18,1599.86,0.01
C#,31.34,2096.69,0.01
Java,92.92,6838.28,0.01
