Language,Energy (J),Time (ms),Ratio (J/ms)
C#,171.64,13847.83,0.01
C#,171.64,13847.83,0.01
C#,171.64,13847.83,0.01
C#,171.64,13847.83,0.01
C#,171.64,13847.83,0.01
C#,171.64,13847.83,0.01
C#,171.64,13847.83,0.01
C,174.17,14041.52,0.01
C++,174.04,14043.14,0.01
C#,171.64,13847.83,0.01
Java,329.97,26542.07,0.01
C,174.17,14041.52,0.01
C++,174.04,14043.14,0.01
C#,171.64,13847.83,0.01
Java,329.97,26542.07,0.01
C,174.17,14041.52,0.01
C++,174.04,14043.14,0.01
C#,171.64,13847.83,0.01
Java,329.97,26542.07,0.01
C,174.17,14041.52,0.01
C++,174.04,14043.14,0.01
C#,171.64,13847.83,0.01
Java,329.97,26542.07,0.01
C,174.17,14041.52,0.01
C++,174.04,14043.14,0.01
C#,171.64,13847.83,0.01
Java,329.97,26542.07,0.01
C,174.17,14041.52,0.01
C++,174.04,14043.14,0.01
C#,171.64,13847.83,0.01
Java,329.97,26542.07,0.01
