Language,Energy (J),Time (ms),Ratio (J/ms)
C,62.19,4294.86,0.01
C++,52.91,3658.31,0.01
C#,260.58,18172.24,0.01
Java,202.01,14132.59,0.01
C,62.19,4294.86,0.01
C++,52.91,3658.31,0.01
C#,260.58,18172.24,0.01
Java,202.01,14132.59,0.01
C,62.19,4294.86,0.01
C++,52.91,3658.31,0.01
C#,260.58,18172.24,0.01
Java,202.01,14132.59,0.01
C,62.19,4294.86,0.01
C++,52.91,3658.31,0.01
C#,260.58,18172.24,0.01
Java,202.01,14132.59,0.01
C,62.19,4294.86,0.01
C++,52.91,3658.31,0.01
C#,260.58,18172.24,0.01
Java,202.01,14132.59,0.01
