Language,Energy (J),Time (ms),Ratio (J/ms)
C#,767.55,52978.9,0.01
C#,767.55,52978.9,0.01
C#,767.55,52978.9,0.01
C#,767.55,52978.9,0.01
C#,767.55,52978.9,0.01
C#,767.55,52978.9,0.01
C#,767.55,52978.9,0.01
C,408.9,28321.14,0.01
C++,410.79,28483.03,0.01
C#,767.55,52978.9,0.01
Java,540.66,37252.86,0.01
C,408.9,28321.14,0.01
C++,410.79,28483.03,0.01
C#,767.55,52978.9,0.01
Java,540.66,37252.86,0.01
C,408.9,28321.14,0.01
C++,410.79,28483.03,0.01
C#,767.55,52978.9,0.01
Java,540.66,37252.86,0.01
C,408.9,28321.14,0.01
C++,410.79,28483.03,0.01
C#,767.55,52978.9,0.01
Java,540.66,37252.86,0.01
C,408.9,28321.14,0.01
C++,410.79,28483.03,0.01
C#,767.55,52978.9,0.01
Java,540.66,37252.86,0.01
C,408.9,28321.14,0.01
C++,410.79,28483.03,0.01
C#,767.55,52978.9,0.01
Java,540.66,37252.86,0.01
