Language,Energy (J),Time (ms),Ratio (J/ms)
C#,251.65,20292.24,0.01
C#,251.65,20292.24,0.01
C#,251.65,20292.24,0.01
C#,251.65,20292.24,0.01
C#,251.65,20292.24,0.01
C#,251.65,20292.24,0.01
C#,251.65,20292.24,0.01
C,200.93,15693.41,0.01
C++,222.54,17162.86,0.01
C#,251.65,20292.24,0.01
Java,261.19,20758.1,0.01
C,200.93,15693.41,0.01
C++,222.54,17162.86,0.01
C#,251.65,20292.24,0.01
Java,261.19,20758.1,0.01
C,200.93,15693.41,0.01
C++,222.54,17162.86,0.01
C#,251.65,20292.24,0.01
Java,261.19,20758.1,0.01
C,200.93,15693.41,0.01
C++,222.54,17162.86,0.01
C#,251.65,20292.24,0.01
Java,261.19,20758.1,0.01
C,200.93,15693.41,0.01
C++,222.54,17162.86,0.01
C#,251.65,20292.24,0.01
Java,261.19,20758.1,0.01
C,200.93,15693.41,0.01
C++,222.54,17162.86,0.01
C#,251.65,20292.24,0.01
Java,261.19,20758.1,0.01
