Language,Energy (J),Time (ms),Ratio (J/ms)
C,64.34,4461.79,0.01
C++,65.85,4578.03,0.01
C#,659.78,49551.79,0.01
Java,109.78,7066.72,0.02
C,64.34,4461.79,0.01
C++,65.85,4578.03,0.01
C#,659.78,49551.79,0.01
Java,109.78,7066.72,0.02
C,64.34,4461.79,0.01
C++,65.85,4578.03,0.01
C#,659.78,49551.79,0.01
Java,109.78,7066.72,0.02
C,64.34,4461.79,0.01
C++,65.85,4578.03,0.01
C#,659.78,49551.79,0.01
Java,109.78,7066.72,0.02
C,64.34,4461.79,0.01
C++,65.85,4578.03,0.01
C#,659.78,49551.79,0.01
Java,109.78,7066.72,0.02
