Language,Energy (J),Time (ms),Ratio (J/ms)
C#,6.42,451.31,0.01
C#,6.42,451.31,0.01
C#,6.42,451.31,0.01
C#,6.42,451.31,0.01
C#,6.42,451.31,0.01
C#,6.42,451.31,0.01
C#,6.42,451.31,0.01
C,1.87,121.59,0.02
C++,0.31,19.55,0.02
C#,6.42,451.31,0.01
Java,4.01,260.17,0.02
C,1.87,121.59,0.02
C++,0.31,19.55,0.02
C#,6.42,451.31,0.01
Java,4.01,260.17,0.02
C,1.87,121.59,0.02
C++,0.31,19.55,0.02
C#,6.42,451.31,0.01
Java,4.01,260.17,0.02
C,1.87,121.59,0.02
C++,0.31,19.55,0.02
C#,6.42,451.31,0.01
Java,4.01,260.17,0.02
C,1.87,121.59,0.02
C++,0.31,19.55,0.02
C#,6.42,451.31,0.01
Java,4.01,260.17,0.02
C,1.87,121.59,0.02
C++,0.31,19.55,0.02
C#,6.42,451.31,0.01
Java,4.01,260.17,0.02
