Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,0.74,27.37,0.03,0.0,0.0
C++,0.14,3.43,0.04,0.0,0.0
C#,1.29,48.53,0.03,0.0,0.0
Rust,0.21,6.27,0.03,0.0,0.0
Java,0.51,12.0,0.04,0.0,0.0
