Language,Energy (J),Time (ms),Ratio (J/ms),Memory (MB),Peak (MB)
C,31.08,946.67,0.03,148.5,0.0
C++,279.31,11352.0,0.02,148.5,0.0
C#,257.86,5310.8,0.05,148.5,0.0
Rust,23.07,1012.83,0.02,148.5,0.0
Java,161.62,4902.87,0.03,148.5,0.0
